Ground truth Filename,Study case id,Responder id,Preferred diagnosis,Preferred diagnosis confidence (0-4),Differential diagnosis,Secondary differential diagnosis,Recommended management,Recommended management specified / other,Recommended management confidence (0-4),Change diagnosis after AI,Preferred diagnosis after AI,Preferred diagnosis confidence after AI (0-4),Differential diagnosis after AI,Secondary differential diagnosis after AI,Change management after AI,Recommended management after AI,Recommended management specified / other after AI,Recommended management confidence after AI (0-4),AI usefulness in this case
case_1_front_Vitiligo.jpg,case_1_front.jpg,3,Rosacea,1,Lupus,don't know,Surgical Excision,Management plan for case #1. ,2,no,Rosacea,1,Lupus,don't know,yes,Chemotherapy,Post-AI management plan for case #1. Plan modified after reviewing AI results.,1,very helpful
case_1_front_Vitiligo.jpg,case_1_front.jpg,9,Contact Dermatitis,5,don't know,don't know,Laser Treatment,Management plan for case #1. ,1,yes,Lupus,2,Impetigo,don't know,yes,Oral Medication,Post-AI management plan for case #1. Plan modified after reviewing AI results.,3,neutral
case_1_front_Vitiligo.jpg,case_1_front.jpg,2,Melanoma,3,Basal Cell Carcinoma,Melanoma,Surgical Excision,dsf,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_1_front_Vitiligo.jpg,case_1_front.jpg,12,Basal Cell Carcinoma,4,Basal Cell Carcinoma,Squamous Cell Carcinoma,Oral Medication,8,4,yes,Squamous Cell Carcinoma,3,Squamous Cell Carcinoma,Basal Cell Carcinoma,yes,Topical Treatment,sad,3,somewhat
case_1_front_Vitiligo.jpg,case_1_front.jpg,14,Melanoma,5,Melanoma,Melanoma,Reassure and Discharge,hj sa j k l n k j s j k,5,yes,Squamous Cell Carcinoma,5,Basal Cell Carcinoma,Basal Cell Carcinoma,yes,Oral Medication,vfvfref,5,very
case_2_back_Vitiligo.jpg,case_2_back.jpg,10,Eczema,1,don't know,don't know,Topical Treatment,Management plan for case #2. Recommend follow-up in 6 weeks.,5,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_2_back_Vitiligo.jpg,case_2_back.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,7,3,no,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,yes,Oral Medication,don't know,3,somewhat
case_2_back_Vitiligo.jpg,case_2_back.jpg,13,Basal Cell Carcinoma,2,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,324,2,no,Basal Cell Carcinoma,2,Basal Cell Carcinoma,Squamous Cell Carcinoma,no,Topical Treatment,423,2,somewhat
case_2_back_Vitiligo.jpg,case_2_back.jpg,14,Melanoma,3,Squamous Cell Carcinoma,Basal Cell Carcinoma,Reassure and Discharge,wedge,3,yes,Basal Cell Carcinoma,4,Squamous Cell Carcinoma,Squamous Cell Carcinoma,yes,Cryotherapy,rgrgg4,4,very
case_3_close_Folliculitis.jpg,case_3_close.jpg,7,Cellulitis,1,Basal Cell Carcinoma,Atopic Dermatitis,Laser Treatment,Management plan for case #3. Recommend follow-up in 6 weeks.,1,no,Cellulitis,1,Basal Cell Carcinoma,Atopic Dermatitis,no,Laser Treatment,Post-AI management plan for case #3. ,2,somewhat helpful
